Word,Part of Speech,Definition,Grammar information:
kuyúfah,verb,halved,stative
kuyuffeh,verb,"to halve crosswise, (cut in) half","transitive, singular"
lableh,verb,"to stop up, plug (the nose, ears, a pipe, etc.)","transitive, singular"
lahbah,verb,"to be lukewarm, warm (applied to liquids), tepid",stative
lákana',noun,"the yolk (of an egg);
venom (of a snake);",
lákanah,verb,"1. to be yellow; rust colored
2. to ripen, to rust","1. stative
2. intransitive"
laksa',noun,"sweat, perspiration;",
laksah,verb,"to sweat, perspire",intransitive
laktce',noun,grounds,
laktcu',noun,earthworm (also laptcu),
lakuffeh,verb,"to make a notch or hole (in leather, etc.)","transitive, singular"
lakúheleh,verb,"to make notches or holes (in leather, etc.)","transitive, plural"
lapah,verb,"blocked, obstructed (of the eyes, ears, etc.)",stative
lapãleh,verb,"to be positioned on (as of a patch on a shirt, etc.)",
lapáleka',noun,"the side of (a riverbank,, road, etc.)",
lapáletceh,verb,to stick (something) on top of (something) (also lapátce),transitive
lapes,noun,"horns, antlers",
lapuskeh,verb,"soft;
to be soft, pliant",stative
lapusketceh,verb,"to soften, make soft or pliable",transitive
lasátceh,verb,"to slap (the face, etc.)",transitive
laspa estalhpesa',noun,thermometer (new word),
ãtcahah,verb,"to be painted, have color laid on the face (rouge or makeup)",stative
ãtcáhaleh,verb,"to paint, put color on the face",intransitive
ãtcáhalétceh,verb,to paint someone else's face,transitive
estãtcaha',noun,paint,est + ãtcaha
laspah,verb,"hot (of weather, water, etc.);
to be hot (of weather, water, etc.)",stative
latassah,verb,"flat;
to be flat, deflated, compressed (of a tire, hair, balloon, etc.)",stative
latassatceh,verb,"to flatten, deflate, compress",transitive
latcah,verb,"to be wet (of a towel, etc.), moist, damp",stative
latcáleh,verb,"to get (a towel, etc.) wet, moist, damp",transitive
lawah,verb,"many, much, a lor of (sp. var. laua);
to be many, much (sp. car. laua)",stative
lawátceh,verb,"to multiply, increase (sp. var. lauatce)",transitive
laweh,verb,"to be equal, even, adequate, sufficient",stative
lawétceh,verb,"to equal, do as well as",transitive
láya',noun,lawyer (from the English),
lebbe',noun,"flame, blaze;",
lebbeh,verb,"to flame, flame up, burn",intransitive
lebbetceh,verb,to light (a fire or lamp),transitive
lebésah,verb,"warm (of weather, water, etc.);
to be warm (of weather, water, etc.)",stative
lebesleh,verb,"to warm (coffee, etc.)",transitive
letáfah,verb,"to break, snap, come apart (of something twisted like rope, thread, cable, etc.)",intransitive
letaffeh,verb," to break (something twisted like a rope, cord, etc.), server","transitive, singular"
leteffeh,verb,"to pluck out (one hair, etc.)","transitive, singular"
letéhah,verb,"dirty, soiled, stained, impure, defiled, polluted, sullied, sordid;
to be dirty (of a child, water, etc.), soiled, stained, polluted, etc.",stative
letéhelétceh,verb,"to make dirty, soil (also letehatce)",
letekfuh,verb,"to be greasy, oily",stative
letúa',noun,"bruise, contusion;",
letúah,verb,"to be torn up, ragged (of clothes, shoes, etc.), tattered, mangled (of a dead deer, etc.), mashed, bruised",stative
letúleh,verb,"to pound, pulverize, mash (meat), bruise, rend, crash, make sore, pummel, squash",transitive
lhabãkah,verb,to snore,intransitive
lhãfa',noun,"line, mark",
lhãffeh,verb,"to make a mark, draw a line, scratch , describe, design, draft, draw, project, scar, designate, streak, trace, crease",transitive
lhahkatce',noun,"marks (on a wall or tree, for example)",
lhakuffeh,verb,"to heal, get better, recover",stative
lhakuffetceh,verb,"to heal (someone), rescue, deliver, shield, redeem, release, relieve, remedy",transitive
lháleh,verb,"to pour (a liquid or two or more nuts, beads, etc. from a container)","transitive, plural"
lhãpku',noun,strength,
lhãpkuh,verb,"to be strong, forceful, athletic, stout",stative
Lhaste',noun,Thursday,
lhatableh,verb,"to spill a liquid or two or more nuts, beads, etc. from a container, once","transitive, singular"
lhatápah,verb,"pured, spilled (also lhetapa)
to be spilled (of water, etc.)",intransitive
lhatcúa',noun,sore,
lhatcúas kallu',noun,an ulcer,
lhawalleh,verb,"to play (of two or more playing tag, scuffling, etc.)","intransitive, plural"
lháyah,verb,"spilled (of a liquid or two or more), scattered","stative, plural"
lhéheleh,verb,"to tear off (corn shucks, etc.), strip off",transitive
lheláfah,verb,torn,stative
lhelaffeh,verb," to tear (paper, cloth, etc.), lacerate","intransitive, singular"
lheláhaleh,verb,"torn in many pieces, shredded, tattered, mangled, rent
to be torn to pieces, shredded, tattered, mangled, rent",stative
lheláhelétceh,verb,"to tear into pieces, shred, tatter, mangle, rend",transitive
lhéleh,verb,"to scatter (two or more, like beads)","transitive, plural"
lhelleh,verb," to tear, sever","transitive, plural"
lhelletceh,verb," to rend, tear more than once, tear in strips","transitive, plural"
lhepah,verb,"old (not new), worn out, thread-bare; to be used, second-hand (of clothes, etc.), worn out",stative
lhepéleh,verb,"to turn (a pot, dishpan, etc.) bottom side up, flip over, turn over (a glass of milk, etc.)","transitive, singular"
lhepéyah,verb,"to bend over, lie flipped over or face down",intransitive
lhepúheleh,verb,"to turn (post, dishpans, etc.) bottom side up, flip over, turn over","transitive, plural"
lhepúseh,verb,"sickly, drail, low spirited
to be puny, feeble, lethargic",stative
lhetúfah,verb,"to be untied (of a rope, etc.)",stative
lhetuffeh,verb,"to untie (a rope, etc.)",transitive
lheyúheleh,verb,"to chase (something), pursue",transitive
lhũbleh,verb,"to pierce (fabric, leather, wood, etc.), make a hold in, perforate",transitive
lhubúah,verb,"round (of a potato or egg), plump",stative
lhubulleh,verb,"to boil (of an egg, etc. in a liquid)",intransitive
lhubútca',noun,"boiled food (as hominy, meat, etc.) (also lhabútca)",
lhubútcah,verb,"to boil down (as of food), be boiled (of an egg, etc), cooked down",stative
lhũffeh,verb,"to skin (a squirrel, seer, rabbit, etc.)","transitive, singular"
lhukáfah,verb,"to be pierced (of ears, etc.), have holes in them","stative, singular"
lhukaffeh,verb,to pierce (the ear),"transitive, singular"
lhukáletceh,verb,"to whip (a horse, etc. several times)","transitive, plural"
lhukátceh,verb,"to whip (a horse, etc. once), switch","transitive, singular"
lhulãkah,verb,to cry out,intransitive
lhũpah,verb,"to be pierced, punched through (of a cane, etc)","stative, singular"
lhupulleh,verb,"to go through (a door, etc.), cross, pass over, endure, undergo; to graduate from (high school, etc.)",transitive
lhupulletceh,verb,"to put (a needle, etc.) through (fabric, leather, etc.), make go through (something), penetrate",transitive
luah,verb,"to burn (of a fire, stick, etc.), ignite",intransitive
luak,noun,fire,
luak ásubúhele',noun,chimney (also luak ásubule),
luak áyulhte',noun,"hearth, fireplace;
iron stove, wood stove",
luak áyúte',noun,heater,
luak estdubátce',noun,"what you start a fire with: matches, etc.",
luak estekbe',noun,"something to start a fire with: matches, kindling, etc.",
luak lebbe',noun,"flame, fire",
luak tcetu' ábelleya',noun,"eternal fire, hell",
lubaffeh,verb," to pull (one tooth, plant, something rooted), pluck, pull up by the roots","transitive, singular"
lubbeh,verb," to uproot, pluck out (wild onions, weeds, etc.), pull up","transitive, plural"
lũbuh,verb,"round (like a ball), spherical",stative
lufah,verb,"peeled, stripped, shelled, husked;
to be peeled (of a potato, etc.), stripped, shelled, husked",stative
luffeh,verb,"to peel (an apple, potato, orange, etc.), pare, strip, shell, husk",transitive
lúhemeh,verb,to hide (something),transitive
lúhumátce,verb,to quiet (a baby),transitive
lukfe',noun,"soil, dirt, clay",
lukfe' ata',noun,pale-colored clay,
lukfe' kutúba',noun,"crockery jar, pottery jar",
lukfe' nuna',noun,brick,
lukse',noun,"turtle (any terrapin);
a padlock",
lukse' aksup,noun,turtle shell,
lukse' estasána',noun,padlock,
lukse' uke' áyása',noun,water turtle,
lukse' unni' uktce',noun,turtle soup,
luktcuk,noun,"mud, slush",
lukúle',noun,"bunch, bundle, flock, herd, collection, community",
lukúleh,verb,"to be grouped, clustered, gathered;",stative
lumah,verb,"to hide, disappear, lurk, be occult, dormant, disguised, recluse, underhanded, to sneak",intransitive
lũ^mah,verb,"to be soft, gentle (of wind, etc.), quiet","intransitive, N grade"
lupe',noun,"brain;
marrow",
lúsah,verb,"black;
to be black",stative
lusakbeh,verb,"brown, dark (like a lead, a horse);
to be brown, dark brown (also lusbe)",stative
lũssa',noun,"wet land, bottom land, swamp",
lusúmah,verb,"to be finished, completed",stative
lusummeh,verb,"to finish off, complete (a drink, etc. so that nothing is left), achieve",transitive
mã^yah,verb,"(two or more) to exist, be there","intransitive, plural, N grade"
mahã^yah,verb,to continue (to do something),"intransitive, HN grade"
mahayyah,verb,having a curved shape like a bowl,stative
makah,verb,"to say, make a sound",intransitive
malahta',noun,"lightning;

(also malatta malatha)",
malahtah,verb,to flash (of lightning),intransitive
malãtah,verb,"shiny;
to shine, reflect light, be shiny, bright, glossy
(also balãta)",stative
malhalleh,verb,"to surpirse, frighten scare (someone), startle",transitive
malhalletce,verb,to do something to scare (someone),transitive
malhátah,verb,"to be scared, afraid (older word)",stative
maséleh,verb,"to clear (of the sky), pass away (of clouds)",intransitive
Maskúke',noun,"Muscogee, Creek",
Mátc,noun,March,
Mãte',noun,Monday,
mayha',noun,"tin pan used for cleaning dishes, etc. (older word) (possibly from ampu mahayya) (also mahha, mahayya)",
mayyah,verb,to go forward,intransitive
Mé',noun,May,
mehah,verb,"to mean; to say; to tell (someone) to do (something), command, order, charge, profess, anounce. utter","intransitive, object takes dative"
mehátceh,verb,"to put (someone) down, talk negatively about (someone), tell (someone) off, scold, upbraid, reprimand",transitive
mehtceh,verb,"to do (something) 
(from yamehtce)",intransitive
mẽku',noun,"chief, king, president, governor, etc.",
mẽku' apélatce',noun,assistant chief,
mẽku' eyákãya',noun,"vice president, assistant to the chief",
melhútceh,verb,"to scrub (clothes, a table, etc.), grate (vegetables, etc.), file (a blade, etc.)",transitive
mẽsa',noun,scar,
mesa' ẽdannap,noun,the opposite side,
mesa' ma',noun,over there,
mesah,verb,"be beyond, be further",stative
messa',noun,the second day before or after (a reference point),
mesũhah,verb,"to scrub, rub",transitive
metáfah,verb,"to bleed from a tear, rupture, or cut",intransitive
metaffeh,verb,"to rupture (so as to bleed), tear (the skin), break (the skin) open",transitive
metéfah,verb,"to open up (of a wound or seam), burst open, get loose, get untied",intransitive
meteffeh,verb,"to rip (the same of a garment), unloose (buttons, a zipper, etc.)",transitive
mẽteh,verb,to be coming,intransitive
mũfah,verb,"to be rubbed off (of hair, etc.), scraped (of skin)
(sp. var. mũfa)",stative
mufeh,verb,"to row, paddle, oar",transitive
mũffeh,verb,"to rub off (hair, etc.), brush off (lint, etc.), peel off, scrape, scalp;
to row, paddle",transitive
mũhele,noun,wind,
mũhele' tcetu',noun,big wind,
mũheleh,verb,"to blow (of the wind), be windy",intransitive
mukúfah,verb,"to come loose (of a chain, a knot, etc.), slip out, come out",intransitive
mukuffeh,verb,"to release (a prisoner, water from a dam, etc.), let (a dog) loose, let (someone) go, unfasten (a belt, etc.)",transitive
múmah,verb,to be all,intransitive
musleh,verb," to wink once, to flash, blink (of a light)","intransitive, singular"
musmuleh,verb, to wink several times,"intransitive, plural"
nábalalle',noun,"vine, creeper (also balalle)",
nábaláma',noun,"perfume, a fragrance, odor",
nábuna',noun,"roll, bundle (also ná bunuta)",
nádanna',noun,"cloth, fabric (also nán tanna)",
nádapaske',noun,"handkerchief, bandana, scarf",
náfena',noun,miracle (in the Bible),
náfukka tcetu',noun,coat,
náfukka',noun,"clothes, clothing, garment (older var. ná fuhka)",
náfukka' átakále',noun,"place where one hangs a piece of clothing: a clothes hanger, hook, rack, closet, etc.",
náfukka' átakúhele',noun,"place where one hangs clothes: clothes hangers, hook, rack, closet, etc.",
náfukka' dapa',noun,"shirt, blouse",
náfukka' dekba' dakále',noun,apron (more specific term),
náfukka' ekbe',noun,"dress maker, tailor, seamstress",
náfukka' eskulúle',noun,jacket,
náfukka' faláya',noun,"overcoat, long dress",
náfukka' lũbu',noun,shirt,
náhah,verb,"to almost, nearly (do something)",intransitive
nákani',noun,"male (human, animal, etc.)",
nákãtce',noun,"one who sells: merchant, sales clerk, cashier, etc.",
nake',noun,"bullet, dart;
lead (the metal)",
nakeswána',noun,catfish (also naneswána),
nakse',noun,side (of a body or house),
nakse' funi',noun,"rib, spare rib",
nakseka',noun,somewhere else,
nakses,noun,"branch, limb, knot, joint (also nakses)",
nale',noun,back (of the body),
nalhah,verb,"to be shot;
to be stung",stative
nálhelahale',noun,"rags, scraps, strips of cloth",
nalhlheh,verb,"to shoot (a deer, etc.);
to sting (someone, as of a bee)",transitive
nalleh,verb, to swallow more than once,"intransitive, plural"
náluma',noun,secret,
nána,noun,"indef. thing, something",
nanableh,verb," to swallow (food, medicine) once","intransitive, singular"
nanabletceh,verb,"to cause to swallow, make another swallow",transitive
nánádalúha',noun,"where things set: a shelf, etc.",
nánákapassale',noun,refrigerator (new word),
nánákãtce',noun,"place where things are sold: concession stand, craft booth, vendor or vending machines, etc.",
nánakeyu,noun,"indef. nothing, not anything",
nánakkeya,noun,"indef. anything, whatever",
nánaksup,noun,"leather, pelt",
nánalbena',noun,"gift, a present, a donation, gratuity",
nánalhpesa',noun,"law, rule, regulation",
Nánalhpesa' Pukkule',noun,Ten Commandments,
nánalhpua',noun,"tame animal, anything raised by cultivation and care (domestic trees, plants, stock, fruit, etc)",
nánalhpúa' emalektce',noun,veterinarian (new word),
nánalhtuka',noun,"elected official, law officer, sheriff",
nánani',noun,"fruit, berries (also ani)",
nánannúa',noun,"story;
news, announcment",
nánannúatce',noun,an announcer,
nánanúle',noun,"an announcer, newsman, reporter, publisher, witness",
nánapa',noun,"things to eat, edible things, food",
nánapa' uktcãke',noun,salad,
nánape',noun,"vine, stem, trunk (of a tree)",
nánapésa',noun,"one who makes laws: council member, legislator, congressman, senator, judge (also attak nán apésa",
nánapésa' alhéha',noun,council,
nánapúa',noun,"game, wild beasts",
nánapukseya',noun,"one who fixes or prepares: a repairman, preparer (of food, etc.)",
nánassatce',noun,sin,
nánatcũle',noun,"someone who sews things: seamstress, tailor",
nánáwéketce',noun,scale (for weighing something),
nánáyalhtu',noun,"container (for pencils, etc.), bin, box (also nán alhtu, áyalhtu)",
nánáyalwasa',noun,skillet,
nánáyatcéfa',noun,place where things are washed: washing machine (also nán atcéfa),
nánayya',noun,peace,
nánekhana',noun,"learner, observer",
nánekhãna',noun,educated or knowledgeable person,
nánekhanãtce',noun,"teacher, trainer, educator, instructor",
nánelle',noun,"something dead: a dead animal, carcass",
nánematáhale',noun,"one who provides a service: a provider, waiter, etc.",
nánesku',noun,drink,
nánesku' tcãpule',noun,"sweetened beverage: soda pop, Kool-Aid, etc.",
nánestekbe',noun,"something to make things with: utensil, recipe",
nánestseléle',noun,"something to dry with: towel, dish towel, hand towel, napkin, etc.",
nánẽtcũa',noun,"mark, markings, (on a poster, sign, etc.), a print (on fabric), emblem, tattoo, brand (on cattle), coloring (also ẽtcũwa)",
nánettalhkata',noun,"something patched or pieced together: a pieced quilt, patchwork quilt (also ná talhkata, nán alhkata)",
nani',noun,fish,
nani' abe',noun,"fisher, fisherman",
nani' estabe',noun,"fishhook, fishnet (also nani est ulbe)",
nani' keséna',noun,buffalo fish,
nani' patassa',noun,sunfish (generally the green sunfish),
nani' sákale',noun,bass (generally the largemouth bass) (also sakale),
nani' sãte',noun,eel,
nani' tcetu',noun,"great fish, whale",
nani' ukele',noun,"one who catches fish, a fisherman",
nani' yukátce',noun,"fish trap, seine for fishing",
nanih,noun,hill,
Nanih Atctca',noun,Mountain Fork river,
nanih tcáha',noun,mountain,
nanih tcetu',noun,big hill,
Nanih Wayya',noun,"Nanih Waiya: an earthwork mound in Winston County, Mississippi, thought by some to be the sacred origin of the Choctaw people",
nánuffu',noun,"plant (of anu kind), vegetation",
nánuffu' esse',noun,leaves of plants,
nánukátceh,verb,"to say things, counsel, advise, make a noise, grumble (of one's stomach), murmur (of a crowd), coo (of a baby, etc.) (from nána ka atce)",intransitive
nánuksúpa',noun,something wild: wild animal or plant,
nánuktcãke',noun,"raw food: greens, vegetables, produce, etc.",
nánũkupa',noun,"thief, robber",
nanukwéheleh,verb,"to fish, to angle",transitive
nánúla',noun,"something that produces music: radio, bell, chime, musical isntrument, etc.",
nánulbattuba ápesa',noun,television set (new word),
nánulbattuba',noun,"picture, photograph",
nánulétũpa',noun,"something sacred: the elements of Communion, etc.",
nánulhtena' ẽpunna',noun,"accountant, bookkeeper (new word)",
Nánullu',noun,Caucasian,
Nánullu' emanũpa,noun,English language,
nánulluktce',noun,something planted: a plant,
nánunn'i uktce',noun,soup (of any kind),
nánuttani',noun,revelation,
nánuttupa',noun,"ache, a pain",
nápakãle',noun,"flower, blossom, bloom (also pakãle; sp.var. nãpakãle)",
nápéhena',noun,"seeds stored for planting, seed corn",
násále',noun,"something to transport with: trailer, wagon, carrier, etc.",
násana',noun,yarn,
nasápe',noun,"oak tree (black oak, red oak, etc.)",
naskubu',noun,head,
naskubu' funi',noun,skull,
naskubu' uttupa' sáhale',noun,"migraine, frequent headaches",
naskubúka',noun,"leader, president, boss",
nasúba',noun,wolf,
nasúba' ulba',noun,coyote,
nasúba' use',noun,"wolf pup, young wolf",
nasúbuse' ulba',noun,coyote pup,
nasúka estatcéfa',noun,washcloth,
nasúka',noun,face,
nãtah,verb,iterrog. what,interrogative
nátcanall'e',noun,wheel (also tcanalle),
nátcãpule',noun,"sweets, dessert, candy",
náwáya',noun,"something produced: fruit, nut grain, tuber, crop, etc.",
náwáya' uktcãke',noun,"raw or fresh food that is harvested: greens, vegetables, produce",
náyemme',noun,"faith;
a believer",
náyukpa',noun,"joy, happiness;",
náyukpah,verb,to be happy,stative
nihe',noun,"seed, grain",
ninak,noun,night,
ninak ékelanna',noun,midnight,
ninak upáke',noun,late at night,
ninakás,noun,last night,
nipe',noun,"meat, flesh",
nipe' alalle',noun,seizure,
nipe' albani',noun,barbecued meat,
nipe' apa',noun,cancer,
nipe' basle',noun,butcher,
nipe' buta',noun,"ground meat: sausage, ground beef, etc.",
nipe' subúhele',noun,bacon,
niskẽ',noun,eye,Class II possession
niskẽ' aksup,noun,eyelid,Class II possession
niskẽ' aláta',noun,eyeglasses,
niskẽ' alba',noun,"eye matter, eye discharge",
niskẽ' alektce',noun,"eye doctor, optometrist (new word)",
niskẽ' alhe',noun,"edge of the eye, corner of the eye",Class II possession
niskẽ' ata',noun,"filmy eyes, eyes with a pale, frosted look, a light-colored eye",
niskẽ' dalhha',noun,"cataract, a film over the pupil of the eye",
niskẽ' ẽlũbu',noun,eyeball,Class II possession
niskẽ' emata',noun,white of the eye,
niskẽ' ettásanále',noun,crossed eyes,
niskẽ' etteyũpetáma',noun,crossed eyes,
niskẽ' lapa',noun,"blind eyes (used in the Bible);
a blind person",
niskẽ' lúsa',noun,black eye,
niskẽ' malãta',noun,dazzled eyes (as when sun gets in the eyes),
niskẽ' nihe',noun,pupil of the eye,Class II possession
niskẽ' sanáya',noun,crossed or crooked eyes,
niskẽ' selẽhtce',noun,eyelash,Class II possession
niskẽ' tcukbeka',noun,"the corner of the eye, edge of the eye",
niskẽ' uktcamále',noun,"green eyes;
a bruised eye (the later stages of a black eye)",
niskẽ' uktce',noun,"tear, teardrop",
niskẽ' uma',noun,red eye,
niskẽ' wesaktce',noun,corner of the eye,
nita',noun,bear,
nita' use',noun,bear cub,
nittak,noun,day,
nittak afamme',noun,"birthday (that is the more common term, though some interpret it as 'birth year')",
nittak attatúk,noun,day someone was born,
nittak ékelanna',noun,"noon, mid-day",
Nittak Ullu tuk Unna',noun,Monday,
nittak ullu',noun,"holy or sacred day, holiday",
Nittak Ullu',noun,Sunday,
Nittak Ullu' Ebayye',noun,Friday,
Nittak Ullu' Ékelanna',noun,Wednesday,
Nittak Ullu' Ẽmesa',noun,Tuesday,
Nittak Ullu' Emúse',noun,Thursday,
Nittak Ullu' Nakfes,noun,Saturday,
Nittak Ullu' Tcetu',noun,Christmas,
niya',noun,fat;,
niyah,verb,to be fat,stative
núah,verb,(one) to walk,transitive
núat ã^ya',noun,"visitor, guest",
Nufẽba',noun,November,
nukhãkaluh,verb,"to be sad, regretful;
to be compassionate
to mourn, grieve",stative
nukhamah,verb,"to be in severe pain, agony, have menstral cramps, have pain from labor",stative
nukhammeh,verb,"to be in pain, hurting, sharp, severe",stative
nukhammetceh,verb,"to hurt (someone, of a disease, etc.), cause pain",transitive
nukhubélah,verb,"to be furious, enraged, angry, resentful, bitter",stative
nukkelleh,verb,"to hate, abhor (also nukhelle)","stative, the object of hating uses Class III"
nuklhakãtcah,verb,"surprised, startled, frightened, amazed, astonished (older var. anuklhakãtca);
to be surprised, startled, frightened, amazed, astonished (older var. anuklhakãtca)",stative
nukselah,verb,"to be hoarse, have a dry throat",stative
nukselátceh,verb,"to make (someone) thirsty, cause hoarsenees",transitive
nuksubleh,verb,"to scare (someone), frighten, terrify, intimidate",transitive
nuksúpah,verb,"scared, afraid;
wilde (of animals or plants), untamed, undomesticated;
to fear, be afraid, scared, fearful;
to be wild, untamed, undomesticated",stative
nuktakáleh,verb,"to choke, have something lodged in the throat",transitive
nuktala',noun,"peace (a feeling of comfort after an illness, death, etc.);",
nuktalah,verb,"to be comforted, even tempered",stative
nuktalále',noun,"comforter, source of comfort",
nuktalhah,verb,"to be jealous, suspicious, to mistrust","transitive- subject takes stative, object takes dative"
nuktẽfah,verb,"to choke, be choking",
nuktẽffeh,verb,"to choke (a chicken, etc.), strangle",transitive
nuktemékatceh,verb,"to beat, palpitate (of the heart), pulsate",intransitive
nukúah,verb,"angry, mad;
to be angry, mad",stative
nukweyah,verb,"to be shy, timid, introverted, quiet, reserved",stative
nunah,verb,"cooked;
to be cooked (of food), baked, roasted, boiled, be done (of a steak), be ripe (of fruit)",stative
nunátceh,verb,"to cook, bake (something), ripen, mellow",transitive
nuse',noun,acorn,
nuseh,verb,"to sleep, be asleep",intransitive
nuséka',noun,dream;,
nusékah,verb,to dream,intransitive
nuselhhah,verb,"to be sleepy, drowsy, lethargic",stative
nuta',noun,p. under,
nutáka',noun,"p. beneath, below;
bottom",
nutákatceh,verb,"go beneath, go under",transitive
nutakfa',noun,"jaw, chin",Class II possession
nutakfa' wesaktce',noun,chin,Class II possession
nutakfes,noun,"whiskers, beard (also nutakses, nutakhes)",Class II possession
nute',noun,tooth,
nute' alektce',noun,dentist (new word),
nute' dekba',noun,front teeth,
nute' estettebe',noun,tooth for fighting: tusk,
nute' estsẽle',noun,"toothpick, dental floos (new word)",
nute' estupãsa',noun,"molars, back teeth",
nute' tceluk,noun,cavity (in a tooth),
nute' tcukbe',noun,teeth in the back of the mouth,
nute' ulba',noun,"false teeth, dentures (also enute ulba)",
nute' uttupa',noun,toothache,
pakãle',noun,"blossom, flower;",
pakãleh,verb,to bloom (of a plant),intransitive
pákana',noun,"top (of something), p. on top of",
pákanáka',noun,"p. above, over",
pákanákatceh,verb,to place (something) above,transitive
pákanãle',noun,"surface, very top (of a table)",
pakét,noun,turkey,
pakét nipe',noun,turkey meat,
pakételu',noun,chicken,
pakételu' abe',noun,chicken hawk,
pakételu' aláta',noun,a setting hen,
pakételu' ánuse',noun,chicken roost (a shed where chickens are kept),
pakételu' aséla',noun,boiled chicken thickened with cornmeal or clour,
pakételu' ayéna',noun,hen,
pakételu' ẽtcukka',noun,"chicken house, chicken coop",
pakételu' nakani',noun,rooster,
pakételu' nipe',noun,chicken meat,
pakételu' use',noun,"chick, chicken egg, egg of any kind",
pakételu' use' aksup,noun,eggshell,
pakételu' use' emata',noun,egg white (also akãkuse lũbu ẽ dubhe),
pakételu' use' lũbu',noun,chicken egg,
pakételu' use' uktcawwe',noun,watery eggsñ scrambled eggs,
pakételu' use' ulbe',noun,boiled eggs,
pakételu' walakse',noun,chicken dumplings,
pãkke',noun,grape,
pãkke' ape',noun,grape vine,
pãkke' sela',noun,raisin,
pãkke' uktce',noun,grape juice,
pãkke' uktce' ume',noun,wine,
pãkke' walakse',noun,grape dumplings,
pakte',noun,mushroom,
pala',noun,"light, lamp, lantern",
pala' bela',noun,"lamp oil, kerosene",
palaksa' tcãpule',noun,"sweet bread, cake, donut, pancakes, etc",
paláleh,verb,"to light (a candle), turn on (a light)",transitive
palammeh,verb,"difficult, hard; to be extreme (of hunger, pain, etc), severe, great, intolerable, unbearable","stative
Usually used with Class III if something is difficult ""for"" someone"
palaska ekbe',noun,baker,
palaska',noun,bread,
palaska' alwasa',noun,"frybread, donut, fritter",
palaska' awasku',noun,sour bread,
palaska' latassa',noun,flatbread,
palaska' satamme' eksu',noun,unleavened bread,
palátah,verb,"to feel homesick, lonely, sad",stative
palhah,verb,to be split in two,"stative, plural"
palháleh,verb,to be split in two,"stative, singular"
palhalleh,verb,to split (one) in two,"transitive, singular"
palhátah,verb,to split in two,"intransitive, singular"
palhátah,verb,"split, divided, halved; to split, divide, halve","intransitive, singular"
palhkeh,verb,"fast, quick, to be fast",stative
palhketceh,verb,to drive fast,transitive
palhlheh,verb,to split (multiple things) in two,"transitive, plural"
palhlheh,verb,"to split (several things, like wood)","transitive, plural"
panah,verb,"braided (of hair), twisted, plaited, to be braided",stative
pannih,verb,"to braid, plait, twist (the hair)",transitive
pãs amo',noun,barber,
pãsáhama',noun,"hair oil, hair tonic",
pasákatceh,verb,"to be slapping, flapping several times",stative
pasátceh,verb,to slap (someone),transitive
pãse',noun,hair on the head,Class II possession
pãse' apukseya',noun,hair stylist,
pãse' bunuta',noun,hair put up in a bun,
pãse' estselle',noun,comb,
pãsfalaktu',noun,scissortail,
paska',noun,"dough, bread;",
paskah,verb,"to bake (bread, etc)",transitive
pãspuah,verb,swept; to be swept,stative
passãhah,verb,to spank (someone) more than once (with an open hand),transitive
pasúheleh,verb,"to feel of, to touch (more than once)","transitive, plural"
pataffeh,verb,"to split open (an animal, etc), make a furrow/trench",intransitive
patáleh,verb,"to spread (a blanket, etc), lay (tiles flooring, roofing), cover (a chair)",transitive
patalhpu',noun,"something spread, a pallet, bedding, etc",
patassah,verb,flat; to be flat,stative
patcálusa',noun,sleet;,
patcálusah,verb,to sleet,intransitive
patce',noun,pigeon,
patce' yusúba',noun,morning dove,
pathah,verb,"wide, broad; to be wide, broad (of a road, etc.), extensive",stative
pathatceh,verb,"to widen, broaden",transitive
pãyah,verb,"to call out (for help), cry out, to call (on the phone)",intransitive
payúfah,verb,"dented, to be dented (of a car etc)",stative
payuffeh,verb,to dent ( a car etc),transitive
péheleh,verb,"to scoop up (two or more, like grass/dirt/gravel/beads), take up","transitive, plural"
péhelétce',noun,"leader, director, moderator, guide, scout, emcee;",
péhelétceh,verb,"to lead, direct, moderate",transitive
pehtcáhale',noun,rat,
pekúfah,verb,"to be scraped/skinned (of one's elbow, etc)",stative
pekuffeh,verb,"to scrape (a knee, etc), skin",transitive
pela',noun,toward (a place),
pelah,verb,"to send (a package, a person, etc), to throw (something)",transitive
pelásás,noun,yesterday,
peleffeh,verb,"to pull up (a curtain, tablecloth, etc)",transitive
pella',noun,long way toward (a place),
pellah,verb,free (without cost),intransitive
pemmeh,verb,pro. ours,stative
pena',noun,"boat, ship, barge, canoe, pirogue",
pena' ádáya',noun,"boat landing, port, harbor",
pena' áfuha',noun,"train stop, train station",
pena' áyukúpa',noun,place where a train stops,
pena' estatta',noun,"worker on a ship, sailor, crewman, boatman, etc",
pena' patassa',noun,"flat boat, ferry, pontoon, scow, etc",
pena' patha',noun,"wide boat, barge, ferry, etc",
pena' use',noun,"canoe, small boat, skiff",
penak,noun,"cold prepared food, provisions, sack lunch, groceries",
pesafénah,verb,"to look very closely, glare at, stare at","transitive, pesa + féna"
pesah,verb,"to look, look at (someone or something), study, examine, find, detect, to watch (something or someone), to try (to do something), attempt",transitive
pesátceh,verb,"to show, exhibit, cause to see",transitive
peseh,verb,to suckle,intransitive
pesétceh,verb,"to nurse, breastfeed (a baby), feed (a baby with a bottle)",transitive
pesnu',noun,"pronoun: we, us, our, ours",
